volMax pesoMax custo
343 277 15226
256 289 14860
397 321 13931
385 254 14819
308 371 13865
388 268 14521
335 265 15168
292 289 14548
268 346 14777
388 268 14521
277 399 14862
256 289 14860
255 275 13025
277 399 14862
370 366 13618
277 399 14862
368 308 16575
336 345 14342
355 322 13718
393 377 16543
388 268 14521
343 277 15226
343 277 15226
378 272 15057
385 254 14819
258 289 14932
259 354 13356
343 277 15226
397 321 13931
343 277 15226
393 377 16543
335 383 16287
370 366 13618
394 379 13241
385 254 14819
366 375 15556
292 316 16581
335 381 15531
