volume peso recompensa duração(s)
13 13 1008 398
7 26 1166 552
20 10 1569 720
6 10 465 900
10 29 1488 1094
29 26 719 600
13 3 795 302
10 13 419 950
25 22 1331 509
19 25 854 790
3 23 571 632
26 22 1628 925
29 16 584 203
25 28 221 802
6 26 1291 1035
3 13 355 737
3 22 1768 195
28 22 330 563
10 3 1641 417
25 22 471 448
16 6 1907 397
3 19 585 827
13 3 203 818
29 26 1522 215
20 23 1551 986
10 3 1641 417
7 10 801 919
19 16 1012 845
3 19 585 827
25 19 1753 524
29 23 1148 789
13 29 719 531
23 7 936 609
26 20 1645 318
19 16 1351 615
13 3 466 937
19 25 1263 748
13 25 1026 365
16 28 875 1094
16 29 533 935
13 3 699 1056
13 29 719 531
16 10 1508 454
3 19 585 827
23 20 1536 804
19 19 1956 207
13 26 1253 542
19 13 1040 651
3 9 1558 1056
22 29 1500 828
13 6 1699 1020
10 6 1747 577
19 25 1263 748
6 16 1023 132
16 13 1718 114
19 16 1012 845
26 29 267 777
19 13 1784 152
22 19 470 470
13 23 1714 347
7 26 1166 552
22 22 930 324
16 16 772 229
22 28 347 1058
19 16 1967 865
6 22 562 614
19 3 522 1009
6 16 1023 132
13 6 1062 195
29 20 1991 704
29 10 243 775
19 25 854 790
22 19 287 752
9 13 211 1039
25 22 861 590
10 19 1278 267
3 10 1791 520
29 10 243 775
16 3 262 658
13 16 1838 354
6 16 1023 132
13 26 396 664
22 29 1500 828
16 16 878 697
10 13 419 950
22 13 709 953
3 10 1791 520
3 3 715 977
16 29 533 935
10 10 588 654
3 13 1502 270
20 13 848 198
6 19 1591 138
25 28 1909 396
29 23 1148 789
10 22 1694 969
13 6 1475 889
13 26 1253 542
13 25 550 100
26 29 610 917
10 26 1229 237
25 13 609 1070
13 26 396 664
10 29 1065 111
9 22 452 901
16 3 477 194
7 20 412 756
22 10 1079 154
6 19 1243 977
25 28 521 989
10 29 1488 1094
7 20 1577 1043
9 9 427 447
22 16 982 229
13 13 967 355
10 29 1194 399
19 28 486 840
10 10 1856 576
20 10 1663 207
3 13 1306 202
3 10 1791 520
26 26 1170 838
13 23 560 244
16 16 706 408
16 19 234 1001
25 13 1251 384
20 23 204 293
22 22 626 1048
19 28 213 755
25 22 471 448
29 29 1019 326
16 19 1193 338
16 10 1309 888
19 13 1784 152
6 3 1347 609
28 6 707 517
20 13 848 198
16 28 1863 653
28 6 1065 121
19 25 854 790
19 16 1351 615
9 19 1281 241
23 3 1396 143
13 25 1467 1058
7 23 907 152
13 3 455 292
10 22 1694 969
19 28 512 778
23 26 1913 600
6 26 1143 180
16 19 1873 697
6 3 1347 609
10 13 414 478
6 19 1243 977
19 6 324 237
13 10 483 694
13 26 1253 542
7 26 634 751
20 10 1663 207
23 7 983 372
7 20 412 756
22 28 347 1058
22 19 602 291
6 6 442 900
13 25 1467 1058
13 20 1925 840
16 10 1508 454
9 9 1137 1019
19 6 217 732
13 23 916 1026
16 29 1739 656
7 29 598 161
6 6 779 122
26 29 610 917
23 16 1936 498
3 19 585 827
7 16 764 617
26 26 716 445
19 3 762 269
23 29 957 387
26 22 1065 616
22 22 626 1048
6 19 406 430
20 23 204 293
6 6 779 122
13 25 550 100
6 6 631 145
20 3 1785 160
19 6 1204 453
13 9 820 552
10 29 1065 111
9 6 1467 681
16 16 1633 195
22 3 1492 283
26 22 1628 925
26 26 1261 1009
9 6 1467 681
22 13 293 191
23 23 1382 991
19 19 1956 207
16 3 262 658
23 20 437 996
13 10 629 410
22 9 1805 279
10 19 1278 267
6 10 713 921
19 6 324 237
7 13 1210 414
3 10 1475 786
7 13 898 325
7 13 734 917
10 13 347 187
16 28 1863 653
3 22 1768 195
13 6 580 558
16 22 491 581
10 29 1194 399
7 3 1607 273
28 9 1185 918
22 16 644 313
3 20 1645 316
28 9 1185 918
6 19 1185 822
26 7 618 442
10 29 1488 1094
22 29 1448 487
19 22 1200 449
22 28 1717 549
13 26 396 664
22 19 1628 332
26 22 1065 616
10 10 588 654
22 10 1848 196
22 29 1448 487
19 16 1489 751
7 13 1210 414
9 22 909 192
19 10 1820 348
13 3 690 686
10 13 1315 328
22 29 1448 487
19 28 213 755
22 19 470 470
16 19 1193 338
23 26 1913 600
25 22 580 176
13 26 1253 542
19 28 946 1021
10 26 1229 237
9 13 211 1039
29 29 763 971
3 16 1456 192
23 7 936 609
20 3 1785 160
16 3 836 819
26 19 244 1055
19 6 324 237
19 16 1967 865
28 16 827 999
13 26 1073 1066
19 3 762 269
9 25 849 1008
23 29 1232 389
19 22 1719 159
10 29 676 526
23 20 1786 1041
23 20 1536 804
6 19 486 789
20 16 851 446
22 13 709 953
16 16 1633 195
19 19 1437 576
29 10 243 775
19 22 1719 159
22 25 914 337
16 26 1789 1077
16 29 1739 656
20 13 1542 128
6 26 1143 180
16 3 836 819
3 13 1306 202
3 13 685 443
6 6 631 145
3 3 699 786
6 10 465 900
7 13 898 325
26 6 1627 732
16 3 477 194
6 3 453 537
26 26 1261 1009
23 13 206 128
16 10 1309 888
20 10 1569 720
29 19 1268 1095
23 7 983 372
9 25 1529 1008
10 19 1278 267
13 23 560 244
3 3 355 869
16 16 706 408
29 29 1019 326
29 19 1268 1095
26 19 1397 1043
28 19 1240 826
25 28 521 989
16 20 816 1079
16 28 1863 653
16 13 671 726
6 10 713 921
10 26 1229 237
16 3 704 1025
16 3 477 194
20 13 1054 815
13 29 626 332
19 22 1440 777
3 19 754 984
16 16 287 918
3 3 715 977
20 7 386 964
20 13 1542 128
29 16 1051 169
7 26 1166 552
28 16 327 1010
6 29 1800 116
3 19 754 984
16 3 477 194
29 16 1051 169
26 16 403 402
19 25 305 782
20 16 851 446
16 13 654 720
13 26 396 664
10 19 1278 267
26 22 1487 269
3 13 1889 538
19 6 217 732
10 13 347 187
26 26 1790 648
26 10 574 593
20 20 418 893
3 16 501 692
28 9 1185 918
13 13 1679 146
26 26 716 445
22 22 265 766
6 6 1058 294
28 9 1185 918
22 13 667 765
7 13 734 917
