volume peso recompensa duração(s)
19 25 305 782
20 13 848 198
23 13 206 128
10 13 414 478
19 16 1351 615
19 16 1489 751
26 19 1397 1043
6 28 1820 271
19 6 217 732
3 10 579 103
16 29 1883 380
22 28 1002 795
22 29 1500 828
13 26 1639 927
13 10 606 592
22 9 1509 598
23 13 206 128
22 13 226 631
3 10 1791 520
7 10 1630 963
22 10 1848 196
13 6 223 597
6 29 834 900
19 25 305 782
19 3 522 1009
9 25 1529 1008
19 22 1200 449
20 26 1863 104
26 20 971 308
6 3 1347 609
6 29 1859 261
16 29 1002 441
16 29 1694 404
25 6 653 107
20 7 894 300
16 22 1579 619
20 7 386 964
13 29 1255 923
22 9 1805 279
10 19 1278 267
28 19 1240 826
23 20 1536 804
13 25 1467 1058
9 19 775 997
6 29 1800 116
3 13 1210 892
20 23 1236 246
29 26 719 600
16 13 1718 114
3 22 1768 195
29 29 763 971
10 13 347 187
6 6 1921 197
13 9 1857 1017
23 26 1520 942
19 13 1688 640
13 25 550 100
3 23 571 632
22 13 709 953
13 10 1614 331
25 28 1909 396
16 22 1579 619
28 16 327 1010
22 28 1717 549
25 16 1200 591
10 6 542 430
3 16 1456 192
6 16 1023 132
26 26 1790 648
6 6 1058 294
13 13 1710 800
19 22 1719 159
7 3 1823 958
28 6 1065 121
3 19 1432 1051
13 3 621 723
3 10 579 103
22 6 683 553
16 13 1477 513
25 13 546 1056
19 3 1547 279
29 16 1369 817
13 3 621 723
22 28 347 1058
6 16 618 1039
25 6 653 107
19 13 1784 152
13 25 1467 1058
16 13 654 720
28 19 828 888
6 19 486 789
22 22 930 324
13 29 719 531
6 6 631 145
6 22 562 614
16 16 706 408
13 13 1714 399
6 6 1058 294
7 26 1257 632
20 20 418 893
3 13 1306 202
22 16 1598 841
9 19 1281 241
7 7 501 800
19 9 1059 580
20 16 1200 991
13 16 1894 625
25 16 1200 591
19 16 1012 845
25 22 1331 509
19 25 844 478
28 6 1636 436
28 6 707 517
13 13 1679 146
13 23 1714 347
13 29 1511 325
19 6 324 237
29 10 1463 145
16 29 1083 521
3 3 575 287
6 29 1859 261
3 19 1432 1051
22 9 1805 279
19 13 1040 651
28 6 1636 436
13 3 466 937
13 3 621 723
3 13 685 443
23 20 437 996
13 6 1475 889
19 13 1784 152
7 16 764 617
3 13 1313 1080
16 29 1730 638
6 19 1243 977
22 16 1175 863
19 22 1804 622
19 3 1982 619
13 16 1785 297
23 13 206 128
10 6 542 430
22 19 287 752
10 10 553 631
28 22 330 563
23 20 1786 1041
22 9 1805 279
3 9 1558 1056
3 16 220 351
25 28 221 802
22 10 1848 196
6 6 1921 197
13 20 1925 840
6 6 779 122
25 19 1753 524
3 16 1456 192
26 16 403 402
20 7 894 300
3 3 1563 535
3 16 1456 192
22 9 1805 279
3 10 984 463
3 13 1210 892
6 16 618 1039
26 26 1261 1009
16 13 367 703
22 22 930 324
16 28 875 1094
3 13 472 300
16 6 1188 697
23 26 1520 942
26 26 1170 838
16 13 1121 641
10 3 1641 417
16 29 1142 878
16 26 1590 728
13 13 1008 398
13 26 396 664
19 28 946 1021
26 26 1790 648
22 22 626 1048
16 29 1142 878
16 3 279 744
22 19 287 752
3 3 355 869
13 20 1951 729
22 13 1897 272
10 7 1801 301
29 16 1051 169
13 22 590 660
26 20 1645 318
13 26 396 664
19 3 762 269
7 10 801 919
10 3 547 766
10 6 1765 970
16 10 396 514
29 19 1268 1095
6 16 618 1039
3 16 1796 762
26 22 1628 925
28 9 1185 918
28 6 1208 309
20 13 1542 128
29 16 1369 817
10 10 1285 483
7 3 1607 273
26 26 1790 648
25 28 521 989
7 20 1880 705
20 13 636 446
10 19 1278 267
3 19 754 984
22 19 602 291
19 19 1990 106
20 7 894 300
25 19 1889 468
3 13 633 583
26 26 1261 1009
6 6 631 145
16 16 1633 195
28 6 1065 121
3 13 355 737
10 13 1315 328
16 13 1718 114
13 23 1714 347
6 13 1201 715
13 6 490 406
25 13 609 1070
23 13 206 128
13 26 1639 927
3 13 1502 270
7 13 898 325
16 10 1508 454
7 20 412 756
16 16 287 918
23 29 1789 900
7 10 1672 419
6 22 666 504
22 10 1233 546
3 19 901 980
29 10 1463 145
16 29 1694 404
20 7 894 300
20 3 1785 160
10 16 1202 634
3 19 952 540
3 3 355 869
13 29 1255 923
3 13 1313 1080
7 20 1880 705
16 28 1863 653
13 13 967 355
6 10 713 921
6 19 996 631
19 9 1059 580
13 3 690 686
13 3 795 302
28 9 1185 918
29 20 1972 641
26 19 1397 1043
29 29 763 971
6 6 1058 294
26 22 1065 616
29 20 1991 704
29 22 561 236
19 6 324 237
16 13 707 359
16 23 746 416
16 13 671 726
3 19 754 984
6 26 1991 318
19 13 884 455
3 16 501 692
6 22 666 504
6 29 1800 116
10 7 1801 301
22 19 287 752
22 16 1598 841
13 9 1857 1017
25 22 471 448
10 13 414 478
19 19 1990 106
3 9 1558 1056
23 3 1396 143
13 25 1026 365
10 10 553 631
6 6 442 900
3 3 1563 535
16 29 1739 656
13 9 1857 1017
16 10 396 514
23 16 868 608
13 13 1008 398
29 10 243 775
26 26 1790 648
9 13 1442 168
3 22 1768 195
25 28 1909 396
13 10 606 592
19 6 1813 756
10 10 588 654
7 23 1303 229
6 16 1023 132
16 3 704 1025
3 19 1928 713
26 29 1233 434
16 19 1873 697
16 6 1332 642
16 28 935 528
22 16 1598 841
25 28 1370 535
6 28 1820 271
20 16 1200 991
22 28 347 1058
10 3 1641 417
22 22 930 324
16 10 396 514
3 13 1502 270
26 7 738 375
7 7 1524 189
19 3 522 1009
13 23 1714 347
26 22 1513 447
22 9 1509 598
19 19 873 118
16 28 875 1094
3 19 585 827
26 22 1628 925
26 22 1165 1100
20 16 1200 991
6 10 713 921
26 20 1645 318
10 22 1694 969
3 10 1791 520
3 22 1768 195
7 26 1166 552
6 19 1185 822
23 3 1396 143
6 6 564 1017
20 16 851 446
6 6 442 900
16 10 1508 454
7 26 1257 632
7 3 1607 273
26 26 1261 1009
6 6 1921 197
3 16 1796 762
22 25 224 467
22 16 1598 841
7 26 1166 552
22 10 1233 546
16 6 1332 642
16 6 1332 642
19 22 735 193
3 19 1928 713
23 20 437 996
13 25 1026 365
3 22 1768 195
22 25 1227 810
19 13 1040 651
16 16 772 229
26 19 244 1055
13 9 820 552
16 16 878 697
3 3 715 977
13 29 1511 325
9 9 1137 1019
22 13 1897 272
13 6 223 597
16 10 1081 1064
3 19 754 984
19 6 1813 756
9 19 1281 241
16 16 527 1100
16 29 1142 878
22 28 347 1058
7 23 907 152
3 10 579 103
19 3 638 618
20 7 894 300
13 23 1714 347
22 13 709 953
13 13 967 355
6 22 562 614
25 22 471 448
10 26 410 192
28 25 952 377
7 10 1672 419
19 19 1990 106
3 10 1475 786
13 29 1255 923
20 13 636 446
3 13 1907 307
23 23 1366 481
19 13 884 455
