volMax pesoMax custo
394 351 15473
309 377 15136
368 308 16575
343 277 15226
265 274 14952
343 277 15226
262 384 15363
262 384 15363
365 301 13406
355 322 13718
277 399 14862
366 375 15556
335 381 15531
325 316 13378
391 395 13796
394 379 13241
328 398 13956
376 262 16090
287 304 15787
394 379 13241
308 371 13865
253 386 13481
395 315 16790
285 258 13044
395 315 16790
258 289 14932
355 322 13718
344 306 14015
325 316 13378
395 315 16790
394 379 13241
391 395 13796
262 389 15106
277 399 14862
355 322 13718
365 259 16982
256 289 14860
325 316 13378
391 395 13796
365 301 13406
255 275 13025
385 254 14819
259 310 16154
370 366 13618
268 346 14777
336 345 14342
281 287 14581
292 316 16581
308 371 13865
