volume peso recompensa duração(s)
20 10 1569 720
22 19 783 277
10 23 1205 1088
29 29 763 971
22 25 914 337
16 28 935 528
6 3 1347 609
16 16 878 697
19 3 1547 279
26 26 1261 1009
26 10 574 593
22 22 318 898
22 16 644 313
7 7 828 643
19 9 1059 580
29 26 1522 215
25 28 221 802
29 20 1991 704
6 13 1713 686
16 3 836 819
20 10 1663 207
22 19 287 752
22 13 1897 272
22 19 287 752
20 10 1663 207
7 20 1241 674
13 22 590 660
29 16 584 203
19 3 522 1009
19 6 217 732
26 20 1645 318
6 6 1058 294
28 25 952 377
10 7 1801 301
3 13 1306 202
10 3 1641 417
29 26 719 600
23 3 1396 143
26 7 738 375
16 6 755 874
3 16 220 351
9 25 849 1008
19 22 1897 986
23 16 868 608
23 16 1936 498
16 28 875 1094
22 13 667 765
3 19 952 540
7 13 1210 414
19 22 1897 986
7 10 1630 963
22 16 982 229
23 16 1918 1042
7 13 1210 414
23 13 206 128
25 13 546 1056
29 16 1442 123
25 25 371 509
29 20 1972 641
9 6 1467 681
7 7 828 643
22 28 347 1058
13 10 483 694
10 29 676 526
20 26 1863 104
7 26 634 751
22 25 224 467
29 23 1148 789
7 20 1880 705
6 6 631 145
6 13 1201 715
19 13 884 455
19 6 324 237
13 10 483 694
28 6 707 517
10 19 1278 267
19 25 854 790
16 13 707 359
10 29 1194 399
16 13 1718 114
13 9 1857 1017
7 13 734 917
10 7 1801 301
7 3 1607 273
20 23 1551 986
7 7 501 800
19 3 784 755
23 20 1786 1041
19 29 1523 353
7 29 598 161
3 13 633 583
6 22 597 540
16 19 1873 697
7 26 634 751
19 16 1967 865
13 10 606 592
3 13 633 583
16 28 1863 653
28 6 1953 299
16 28 1863 653
16 28 1863 653
23 16 868 608
22 28 1717 549
7 23 907 152
22 6 683 553
13 26 396 664
13 25 1467 1058
25 6 647 415
3 13 1306 202
19 19 1437 576
28 22 1166 491
13 20 1925 840
6 19 1591 138
16 13 1718 114
3 20 1263 905
3 22 940 937
3 3 699 786
19 13 1040 651
23 29 1789 900
26 7 618 442
13 3 455 292
3 23 1410 1028
25 22 580 176
16 3 262 658
19 3 638 618
16 6 755 874
9 19 1281 241
26 26 1261 1009
3 3 575 287
13 26 1073 1066
25 13 609 1070
6 13 1201 715
10 10 1856 576
16 10 1081 1064
13 3 699 1056
10 3 1886 632
16 16 1633 195
6 3 1176 551
3 16 1456 192
6 6 1921 197
25 28 724 816
23 26 1913 600
20 23 1325 338
29 20 1160 237
29 20 1704 502
16 13 707 359
9 13 1442 168
6 6 564 1017
22 19 783 277
26 19 1397 1043
26 19 1397 1043
22 29 1500 828
29 20 1704 502
26 29 1233 434
29 29 763 971
3 7 1565 226
20 20 418 893
13 10 629 410
6 13 1713 686
23 16 1936 498
26 20 1645 318
10 3 1641 417
6 19 1243 977
28 19 1240 826
9 22 909 192
13 10 1614 331
3 22 1768 195
3 16 1796 762
10 16 1202 634
23 23 1382 991
7 10 801 919
10 13 419 950
22 10 1079 154
6 29 1800 116
25 19 1753 524
10 13 1315 328
20 23 1551 986
16 29 533 935
28 22 1166 491
6 10 465 900
20 13 1542 128
20 13 848 198
23 16 1918 1042
20 13 848 198
19 22 1897 986
19 25 305 782
16 29 533 935
19 16 1351 615
3 19 585 827
3 23 697 699
25 22 1331 509
16 6 1188 697
10 3 1641 417
16 3 279 744
6 22 666 504
16 29 1883 380
29 10 483 1038
19 3 638 618
6 13 1201 715
19 26 836 356
29 16 1369 817
29 26 719 600
20 16 851 446
16 16 527 1100
6 29 1859 261
19 19 1990 106
16 28 1821 660
7 3 1607 273
13 26 1253 542
16 29 1694 404
7 7 501 800
22 19 470 470
19 28 946 1021
6 19 1591 138
25 13 1251 384
6 16 1023 132
16 3 279 744
16 3 1518 1053
6 10 713 921
20 13 636 446
16 29 1883 380
3 10 984 463
3 13 1889 538
22 28 347 1058
13 3 795 302
13 13 1714 399
29 26 719 600
26 22 1487 269
19 13 1537 614
19 13 1688 640
29 16 1051 169
29 29 1019 326
26 22 1513 447
7 10 1630 963
26 7 618 442
29 10 1657 287
19 3 638 618
6 6 564 1017
16 16 706 408
3 3 699 786
20 7 386 964
16 19 1873 697
3 22 1768 195
26 13 1295 104
16 3 477 194
26 22 1628 925
16 13 654 720
28 9 1185 918
6 29 1800 116
3 16 501 692
26 16 1303 358
9 13 211 1039
10 26 1843 187
19 16 1967 865
20 3 1785 160
13 25 1026 365
16 6 1188 697
22 13 293 191
3 16 501 692
7 7 501 800
3 20 1645 316
10 6 1747 577
23 26 1594 1052
23 7 983 372
25 28 1370 535
3 10 984 463
16 22 491 581
13 9 1857 1017
3 16 1796 762
28 6 1636 436
19 25 305 782
6 26 1143 180
16 29 1883 380
9 9 427 447
6 6 1921 197
20 16 851 446
16 16 706 408
9 25 1529 1008
6 6 1058 294
3 19 1432 1051
3 10 579 103
19 13 1904 276
10 16 1202 634
13 3 699 1056
28 19 1240 826
20 3 1785 160
3 3 715 977
9 25 1529 1008
16 13 671 726
10 23 1205 1088
6 3 615 970
9 22 452 901
13 6 1987 926
26 29 1233 434
19 6 1108 1031
29 23 1148 789
10 6 1765 970
19 22 735 193
22 16 982 229
13 25 550 100
6 19 486 789
16 3 836 819
20 7 894 300
6 3 1176 551
7 3 1607 273
19 16 1012 845
29 29 969 833
26 19 1397 1043
13 13 967 355
6 6 442 900
16 13 654 720
13 13 1008 398
6 19 1185 822
10 29 1194 399
16 16 1633 195
13 23 1714 347
6 16 1023 132
19 19 1990 106
19 22 1440 777
29 26 719 600
25 13 546 1056
22 13 709 953
26 6 1627 732
13 10 1614 331
22 16 1175 863
26 6 1627 732
23 23 1382 991
3 19 952 540
22 19 602 291
10 13 347 187
26 22 1065 616
13 29 626 332
22 13 226 631
26 29 1233 434
13 3 699 1056
19 3 1982 619
