volMax pesoMax custo
335 381 15531
278 386 16833
292 316 16581
394 379 13241
292 289 14548
259 310 16154
343 277 15226
265 274 14952
258 289 14932
287 304 15787
308 371 13865
382 304 14967
256 289 14860
258 289 14932
328 398 13956
287 304 15787
378 272 15057
343 277 15226
278 386 16833
360 331 15444
253 386 13481
366 375 15556
393 377 16543
365 301 13406
292 289 14548
388 268 14521
259 354 13356
288 346 13476
370 366 13618
335 381 15531
398 378 15048
368 308 16575
287 304 15787
296 271 13742
310 387 14105
335 383 16287
265 274 14952
388 268 14521
395 315 16790
376 262 16090
256 289 14860
335 383 16287
