volMax pesoMax custo
397 321 13931
308 371 13865
281 287 14581
253 386 13481
382 304 14967
278 386 16833
365 259 16982
395 315 16790
287 342 15977
391 395 13796
262 389 15106
385 254 14819
325 316 13378
328 398 13956
278 386 16833
344 306 14015
281 287 14581
287 342 15977
325 316 13378
344 306 14015
253 386 13481
285 258 13044
262 384 15363
382 304 14967
394 351 15473
253 386 13481
253 386 13481
268 346 14777
259 310 16154
378 272 15057
365 259 16982
325 316 13378
288 346 13476
259 354 13356
328 398 13956
335 381 15531
259 310 16154
391 395 13796
394 379 13241
281 287 14581
365 301 13406
281 287 14581
365 259 16982
