volume peso recompensa duração(s)
13 3 621 723
13 13 1008 398
19 25 854 790
6 16 647 872
29 29 969 833
28 9 1185 918
19 16 1012 845
22 28 1717 549
23 16 1936 498
6 28 1820 271
3 3 355 869
3 13 1907 307
23 20 1536 804
3 19 600 422
22 29 1500 828
23 26 1913 600
6 6 631 145
20 23 1325 338
13 26 1073 1066
3 22 1768 195
10 6 1765 970
19 22 1260 355
3 16 501 692
10 16 1202 634
20 13 1542 128
19 16 1012 845
28 25 952 377
7 3 1823 958
22 19 783 277
10 10 553 631
22 19 1628 332
20 20 418 893
29 16 584 203
22 13 709 953
3 3 699 786
6 29 834 900
19 3 1982 619
22 3 1492 283
9 13 211 1039
29 26 1522 215
13 29 719 531
9 6 748 381
16 13 671 726
3 22 1768 195
29 26 1522 215
3 3 715 977
13 3 621 723
23 23 881 353
3 13 1210 892
29 26 1724 482
19 28 486 840
3 13 355 737
3 13 1306 202
29 16 1051 169
7 3 1607 273
25 16 1200 591
20 16 823 524
26 29 610 917
7 20 1880 705
9 6 748 381
22 25 224 467
22 28 1002 795
6 19 996 631
6 6 631 145
6 3 615 970
29 29 1019 326
10 7 1801 301
6 22 597 540
3 13 1907 307
19 13 1904 276
20 23 204 293
28 6 1065 121
26 29 610 917
16 19 234 1001
16 16 878 697
3 3 715 977
13 3 690 686
13 9 820 552
23 3 1396 143
13 9 820 552
3 16 1391 846
13 13 967 355
3 13 1210 892
6 19 1591 138
6 19 486 789
6 16 1023 132
10 6 1765 970
29 20 1160 237
16 29 1739 656
22 22 265 766
10 26 1229 237
19 13 1904 276
3 23 697 699
7 29 598 161
6 3 453 537
26 26 1790 648
19 3 1814 369
3 13 751 234
16 3 227 464
16 29 1739 656
16 26 1789 1077
16 20 816 1079
9 9 1137 1019
9 9 427 447
7 13 898 325
19 22 1719 159
16 13 707 359
10 7 1801 301
26 26 1261 1009
10 10 1856 576
29 20 1972 641
29 26 1724 482
6 26 1291 1035
20 23 1325 338
19 13 1040 651
13 3 795 302
6 13 1713 686
13 6 1699 1020
20 13 848 198
29 29 969 833
22 9 1805 279
23 20 1536 804
20 23 1325 338
6 19 1243 977
3 7 1565 226
13 3 466 937
19 22 1719 159
20 10 1569 720
16 28 875 1094
16 6 1332 642
13 6 1699 1020
16 3 704 1025
6 3 615 970
13 10 738 190
28 19 828 888
3 22 1662 201
9 25 1529 1008
3 23 697 699
6 29 1859 261
19 13 1537 614
23 16 1936 498
26 10 574 593
13 9 1857 1017
3 19 952 540
9 25 849 1008
10 10 1285 483
26 7 618 442
22 3 480 1037
19 13 1688 640
23 29 1232 389
3 10 1791 520
23 13 206 128
26 20 1645 318
16 13 707 359
22 10 1233 546
13 6 490 406
10 10 1856 576
7 29 743 826
19 22 1719 159
13 26 1073 1066
7 20 412 756
22 28 1717 549
29 16 1442 123
7 10 1630 963
29 20 1160 237
29 16 1442 123
19 3 638 618
16 3 704 1025
26 26 496 520
7 20 1577 1043
20 7 894 300
29 29 1019 326
29 16 1369 817
26 29 267 777
19 22 1200 449
16 28 1863 653
13 16 1894 625
6 28 1820 271
13 16 1785 297
20 16 823 524
19 19 1437 576
7 7 1524 189
20 13 1054 815
23 7 936 609
7 23 1303 229
3 7 1565 226
19 28 213 755
13 3 466 937
19 13 884 455
10 10 1856 576
28 6 707 517
7 20 1241 674
19 3 1982 619
3 10 1791 520
13 13 1714 399
7 29 598 161
6 13 1201 715
22 3 1565 763
28 16 327 1010
28 6 1208 309
6 28 1820 271
29 10 483 1038
6 10 713 921
26 7 738 375
22 22 626 1048
22 28 1717 549
10 13 347 187
7 3 1823 958
10 26 1229 237
28 16 327 1010
26 26 496 520
20 20 418 893
6 26 1291 1035
19 28 213 755
22 13 293 191
22 16 644 313
25 28 1909 396
23 23 1382 991
7 3 1823 958
9 13 211 1039
25 6 647 415
3 13 530 916
9 9 427 447
19 16 1319 385
25 13 609 1070
3 3 699 786
26 22 1165 1100
20 3 1785 160
22 16 982 229
16 10 1508 454
22 22 265 766
3 19 1928 713
19 13 1904 276
13 13 1008 398
16 19 234 1001
10 7 1801 301
10 26 1229 237
3 19 952 540
25 25 371 509
3 9 1558 1056
22 13 226 631
22 16 1819 768
16 3 477 194
13 29 626 332
20 13 1054 815
6 19 1185 822
6 10 1572 528
25 22 1331 509
13 29 1255 923
9 19 775 997
19 19 1956 207
19 28 486 840
6 19 406 430
16 13 654 720
29 26 1724 482
22 3 1565 763
19 19 873 118
29 13 1014 130
22 22 265 766
23 23 1366 481
7 23 907 152
29 20 1704 502
26 22 1487 269
3 13 1907 307
19 10 1820 348
13 23 1714 347
26 26 716 445
9 6 748 381
19 19 1437 576
19 29 1523 353
3 7 1565 226
7 20 1880 705
16 10 1508 454
3 3 1563 535
22 16 1598 841
16 6 1332 642
19 3 522 1009
3 19 952 540
3 16 1796 762
29 10 483 1038
3 19 1928 713
16 13 1477 513
25 22 1331 509
20 20 418 893
23 26 1594 1052
22 25 224 467
29 10 243 775
6 10 465 900
25 6 647 415
6 6 1921 197
3 16 1391 846
28 6 1208 309
25 28 521 989
13 6 1475 889
29 10 1463 145
25 22 1331 509
6 26 1291 1035
19 13 1875 107
20 23 1236 246
23 29 957 387
16 16 287 918
13 16 1785 297
13 6 1062 195
3 23 571 632
20 10 1663 207
9 9 427 447
19 22 1260 355
16 29 1694 404
19 13 1784 152
28 22 330 563
25 19 1889 468
6 3 1176 551
6 19 486 789
6 26 1143 180
25 22 861 590
26 16 403 402
16 29 1883 380
19 22 1440 777
7 29 598 161
16 29 1883 380
23 29 957 387
7 26 1166 552
16 13 1718 114
6 19 1243 977
16 20 816 1079
19 19 1990 106
6 29 1859 261
22 9 1805 279
3 3 355 869
16 22 1579 619
23 16 1918 1042
13 9 1857 1017
26 16 1303 358
7 10 1672 419
13 6 1987 926
7 29 598 161
20 10 1663 207
23 29 1789 900
29 29 1019 326
22 16 1598 841
13 26 1639 927
9 9 1137 1019
16 10 396 514
20 16 1200 991
29 20 1160 237
28 6 707 517
25 13 1251 384
16 28 875 1094
16 13 707 359
9 22 909 192
19 19 873 118
29 10 483 1038
22 28 1002 795
20 23 1551 986
7 7 828 643
3 20 1645 316
22 19 1628 332
3 20 1263 905
3 9 1558 1056
22 28 347 1058
3 13 1306 202
6 6 1921 197
6 10 713 921
3 19 1928 713
25 19 1889 468
25 13 1251 384
13 23 916 1026
10 6 1765 970
6 19 486 789
3 3 699 786
6 29 1859 261
19 19 1956 207
6 13 1201 715
26 29 267 777
23 26 1594 1052
19 22 1440 777
16 3 227 464
16 22 491 581
23 16 1936 498
