volume peso recompensa duração(s)
19 28 946 1021
13 26 1253 542
29 16 1051 169
6 29 1800 116
29 29 1019 326
13 6 490 406
26 26 496 520
6 10 1572 528
20 23 1325 338
6 26 1143 180
20 23 1236 246
26 6 1627 732
16 19 1193 338
25 22 1331 509
29 20 1991 704
29 29 1019 326
7 23 907 152
22 22 318 898
6 3 1347 609
10 13 419 950
7 26 1257 632
16 19 1193 338
19 6 1108 1031
7 29 743 826
22 10 1079 154
16 29 1739 656
9 25 849 1008
23 23 1366 481
26 20 1645 318
16 16 772 229
13 3 699 1056
19 6 217 732
26 6 774 314
16 13 367 703
22 13 226 631
13 6 490 406
3 23 1410 1028
13 13 1679 146
26 10 574 593
19 3 1814 369
19 3 762 269
7 26 1166 552
13 6 1062 195
29 20 1704 502
3 16 1105 256
10 6 1765 970
13 6 1699 1020
22 3 1565 763
22 10 1079 154
10 10 588 654
3 19 901 980
16 10 1081 1064
28 16 827 999
16 28 1821 660
9 13 211 1039
26 7 618 442
29 20 1704 502
20 23 204 293
26 26 496 520
3 16 220 351
25 28 1370 535
13 16 1894 625
16 28 1821 660
16 19 1873 697
3 16 753 124
10 13 1315 328
3 23 1410 1028
16 22 491 581
13 13 1714 399
29 29 763 971
3 19 1928 713
29 10 1463 145
7 3 1823 958
22 16 644 313
16 22 1579 619
13 16 1785 297
19 22 1440 777
19 13 1784 152
13 9 1857 1017
16 29 1593 882
19 6 1813 756
13 13 1008 398
25 13 609 1070
23 26 1913 600
3 16 501 692
3 19 901 980
20 23 1236 246
26 20 971 308
7 23 1303 229
19 13 1904 276
6 6 1921 197
20 16 851 446
9 25 1529 1008
3 13 1210 892
3 23 697 699
23 20 437 996
3 19 952 540
16 29 1142 878
13 9 820 552
16 16 772 229
13 23 916 1026
22 9 1805 279
13 3 699 1056
16 22 491 581
16 16 772 229
9 6 748 381
22 28 1002 795
7 16 764 617
22 25 914 337
28 6 1953 299
26 7 618 442
20 13 1054 815
29 20 1991 704
6 22 666 504
29 16 584 203
26 16 403 402
13 26 1639 927
19 28 213 755
6 6 631 145
26 22 1348 605
25 22 471 448
3 10 1791 520
23 26 1520 942
16 22 1579 619
6 13 1713 686
20 16 851 446
29 20 1991 704
3 16 220 351
19 22 1804 622
22 13 1897 272
19 26 309 271
13 9 820 552
10 6 542 430
23 7 936 609
13 25 1467 1058
3 19 754 984
26 6 1627 732
7 26 1166 552
16 13 707 359
20 10 1569 720
20 23 1236 246
6 28 1820 271
16 16 772 229
19 16 1012 845
28 6 707 517
23 20 1536 804
10 10 553 631
23 26 1594 1052
26 26 496 520
23 20 437 996
10 13 347 187
16 29 533 935
9 22 909 192
10 7 1801 301
10 19 1278 267
22 10 1848 196
19 26 836 356
22 16 644 313
13 20 1951 729
22 10 1233 546
26 19 244 1055
22 28 347 1058
29 16 1369 817
23 26 1913 600
19 28 512 778
16 16 706 408
13 10 483 694
9 22 452 901
6 26 1143 180
3 16 1796 762
29 16 584 203
19 19 1956 207
13 10 483 694
6 16 647 872
3 16 1391 846
26 7 618 442
16 3 227 464
6 29 1859 261
13 6 1987 926
6 10 713 921
3 10 1791 520
7 29 598 161
16 13 1121 641
19 22 1897 986
7 26 1166 552
6 6 779 122
10 10 553 631
25 28 521 989
26 16 1296 524
3 13 355 737
19 22 691 728
3 19 585 827
20 13 636 446
28 6 1636 436
7 26 634 751
22 19 1628 332
6 10 1572 528
26 26 716 445
19 26 836 356
16 29 1593 882
26 7 618 442
3 16 753 124
16 26 1590 728
6 29 1859 261
28 19 1240 826
16 20 816 1079
16 29 533 935
16 16 527 1100
23 26 1594 1052
13 13 967 355
19 13 1904 276
16 6 1188 697
22 28 1002 795
22 28 1002 795
19 6 217 732
7 7 501 800
6 19 1591 138
22 16 1819 768
3 23 1410 1028
20 16 1200 991
13 13 1008 398
16 16 527 1100
19 22 1440 777
9 6 1467 681
16 29 1002 441
23 29 1232 389
3 23 1410 1028
29 29 763 971
6 19 996 631
26 6 774 314
19 22 1897 986
13 3 203 818
28 16 327 1010
25 13 546 1056
19 3 638 618
16 6 1907 397
29 19 1268 1095
7 20 412 756
9 22 909 192
7 26 634 751
19 3 522 1009
22 10 1233 546
7 7 828 643
16 16 772 229
9 13 1442 168
6 16 1023 132
22 19 287 752
13 3 455 292
19 22 1200 449
26 16 403 402
7 26 634 751
19 16 1489 751
13 25 1467 1058
16 28 1821 660
3 20 1263 905
28 6 707 517
6 6 1445 1014
3 3 355 869
3 23 697 699
16 3 477 194
28 19 1240 826
19 29 1523 353
3 3 355 869
13 25 1467 1058
3 13 685 443
22 22 626 1048
19 16 1319 385
16 6 1907 397
23 20 437 996
3 23 571 632
20 20 418 893
13 3 466 937
9 6 1467 681
26 19 244 1055
10 13 347 187
20 13 848 198
16 3 227 464
10 10 588 654
19 10 1820 348
