volMax pesoMax custo
360 331 15444
388 268 14521
388 268 14521
368 308 16575
385 254 14819
285 258 13044
292 289 14548
388 268 14521
365 301 13406
292 316 16581
394 379 13241
335 265 15168
360 331 15444
262 384 15363
258 289 14932
277 399 14862
265 274 14952
308 371 13865
370 366 13618
376 262 16090
355 322 13718
382 304 14967
394 351 15473
287 342 15977
336 345 14342
365 259 16982
285 258 13044
378 272 15057
394 351 15473
281 287 14581
368 308 16575
259 310 16154
278 386 16833
265 274 14952
336 345 14342
335 383 16287
335 265 15168
365 259 16982
344 306 14015
262 389 15106
394 351 15473
