volume peso recompensa duração(s)
19 28 486 840
22 22 930 324
29 29 1019 326
19 22 1200 449
19 25 1263 748
6 16 618 1039
13 23 1714 347
19 22 1260 355
19 16 1319 385
19 3 784 755
3 16 753 124
10 3 1641 417
16 6 1332 642
10 22 1694 969
23 23 1382 991
19 19 1437 576
16 22 1579 619
3 13 1210 892
13 20 1925 840
6 6 442 900
3 13 685 443
22 19 1628 332
6 26 1143 180
29 16 1369 817
20 16 1200 991
20 10 1569 720
6 19 1243 977
7 3 1607 273
6 19 1185 822
3 13 530 916
19 22 1804 622
10 29 676 526
25 28 1370 535
13 23 560 244
29 22 561 236
23 20 1786 1041
23 20 1786 1041
6 26 1143 180
25 22 471 448
22 29 1500 828
16 29 1083 521
16 13 1718 114
23 7 983 372
13 26 1073 1066
6 22 562 614
22 13 1897 272
3 13 633 583
6 6 564 1017
16 20 816 1079
10 13 414 478
19 10 1820 348
23 20 1536 804
22 22 930 324
26 7 738 375
16 28 1821 660
28 6 1636 436
22 19 287 752
29 29 969 833
22 22 626 1048
16 28 875 1094
13 9 820 552
16 6 1907 397
13 3 455 292
10 19 1278 267
29 16 1369 817
3 9 1558 1056
25 28 1370 535
3 19 1432 1051
9 19 1281 241
13 3 699 1056
22 22 626 1048
3 13 751 234
28 22 330 563
6 28 1820 271
19 22 691 728
19 9 1059 580
26 19 244 1055
7 7 1524 189
19 6 324 237
19 13 1904 276
19 29 1523 353
19 13 1537 614
19 22 735 193
16 29 1083 521
19 13 1040 651
7 13 1210 414
6 3 1176 551
16 3 262 658
10 29 1194 399
20 20 418 893
6 10 465 900
3 22 1662 201
16 16 772 229
20 16 823 524
13 6 1987 926
19 13 1784 152
3 13 355 737
16 29 1593 882
20 16 1200 991
23 16 1936 498
19 13 1904 276
3 23 1410 1028
3 3 355 869
26 22 1348 605
22 13 1897 272
13 3 466 937
19 26 836 356
19 6 1108 1031
6 3 615 970
13 10 738 190
10 22 1694 969
3 13 472 300
20 13 848 198
13 13 1710 800
16 28 1863 653
28 6 1953 299
29 22 561 236
28 16 327 1010
25 28 1370 535
29 20 1991 704
9 6 1467 681
19 16 1012 845
29 16 1369 817
13 29 1511 325
23 16 1936 498
23 7 983 372
6 6 1058 294
19 22 1200 449
29 20 1704 502
10 10 553 631
23 23 881 353
16 19 1873 697
10 26 410 192
20 13 1542 128
3 16 1796 762
20 13 636 446
6 3 615 970
29 26 1522 215
9 13 1442 168
3 23 571 632
20 13 636 446
20 23 204 293
19 3 784 755
19 22 691 728
7 20 1241 674
19 6 217 732
20 13 1054 815
3 13 1907 307
13 25 1467 1058
19 13 1904 276
16 3 1518 1053
13 10 738 190
22 13 293 191
16 29 1002 441
7 10 801 919
26 6 1627 732
22 16 982 229
22 16 982 229
7 16 764 617
6 19 996 631
28 19 1240 826
16 29 1739 656
13 16 1785 297
19 29 1523 353
26 22 1165 1100
6 28 1820 271
16 19 1873 697
22 25 1227 810
26 7 618 442
26 7 738 375
26 22 1165 1100
3 13 1306 202
10 19 1278 267
25 16 620 1002
26 22 1065 616
6 6 631 145
6 6 631 145
3 16 1391 846
13 20 1951 729
26 16 403 402
16 6 1188 697
7 20 1241 674
28 6 1636 436
26 22 1165 1100
16 26 1789 1077
3 3 355 869
23 16 1918 1042
19 6 1204 453
19 19 873 118
16 28 1821 660
3 20 1645 316
19 28 512 778
19 6 217 732
25 6 216 182
25 6 653 107
3 13 355 737
29 16 1442 123
29 20 1160 237
16 6 1188 697
20 13 636 446
22 22 318 898
22 19 470 470
6 13 1713 686
19 22 1804 622
19 25 305 782
29 16 584 203
23 7 936 609
16 29 533 935
28 6 1636 436
22 19 783 277
20 16 1200 991
10 6 542 430
6 6 779 122
16 16 527 1100
26 16 1296 524
