volMax pesoMax custo
335 381 15531
360 331 15444
262 384 15363
366 375 15556
277 399 14862
398 378 15048
268 346 14777
366 375 15556
397 321 13931
288 346 13476
328 398 13956
366 375 15556
397 321 13931
308 371 13865
394 379 13241
288 346 13476
398 378 15048
335 265 15168
394 379 13241
376 262 16090
397 321 13931
268 346 14777
366 375 15556
335 381 15531
268 346 14777
256 289 14860
259 310 16154
394 351 15473
255 275 13025
259 354 13356
262 389 15106
368 308 16575
325 316 13378
281 287 14581
328 398 13956
