volume peso recompensa duração(s)
6 26 1143 180
16 28 1821 660
13 29 1255 923
13 10 629 410
22 19 602 291
16 6 1332 642
22 22 265 766
23 23 1382 991
25 28 724 816
7 29 743 826
16 20 816 1079
6 6 442 900
6 28 1820 271
3 13 633 583
10 19 709 692
22 13 709 953
6 10 1572 528
25 22 471 448
13 10 606 592
16 28 1863 653
29 29 763 971
6 22 597 540
16 3 704 1025
6 22 794 783
19 16 1012 845
10 3 547 766
19 22 1440 777
22 22 930 324
7 20 1577 1043
23 23 1366 481
19 6 1813 756
13 6 1699 1020
20 23 1236 246
19 25 854 790
6 19 996 631
13 26 1253 542
3 19 600 422
19 22 1440 777
6 6 631 145
3 16 1391 846
6 6 779 122
3 13 530 916
19 6 1813 756
3 19 1928 713
22 13 709 953
22 16 1598 841
3 16 501 692
3 13 685 443
16 19 234 1001
6 19 1185 822
19 16 1351 615
16 3 262 658
3 16 1456 192
3 22 940 937
25 16 1200 591
16 26 1789 1077
10 16 1202 634
20 7 386 964
22 13 293 191
6 3 453 537
6 22 562 614
13 13 1710 800
16 19 1193 338
22 10 1848 196
3 10 1475 786
13 29 719 531
19 16 1489 751
22 13 293 191
7 10 1630 963
9 9 1137 1019
6 19 1591 138
19 13 884 455
16 13 1477 513
28 22 330 563
16 29 1002 441
26 20 971 308
6 19 1591 138
9 25 1529 1008
3 3 1563 535
10 6 1765 970
6 29 1800 116
9 16 814 281
22 19 783 277
22 10 1079 154
16 28 1863 653
25 13 609 1070
16 6 1907 397
20 16 851 446
7 26 1166 552
6 29 1800 116
22 9 1509 598
3 10 984 463
13 26 396 664
10 29 676 526
9 9 1137 1019
22 25 224 467
3 13 1306 202
6 22 597 540
19 10 1820 348
29 26 1724 482
16 6 1332 642
19 22 1719 159
10 13 419 950
16 10 396 514
3 13 1502 270
22 3 338 357
6 6 564 1017
3 7 1565 226
22 19 1628 332
23 20 1536 804
13 29 626 332
16 29 1883 380
10 29 1065 111
23 26 1913 600
22 19 602 291
22 16 1819 768
13 20 1925 840
20 23 1325 338
19 3 1982 619
28 19 828 888
13 25 1467 1058
26 26 716 445
16 13 707 359
16 29 1694 404
13 13 967 355
26 10 574 593
13 23 916 1026
23 29 1232 389
28 22 1166 491
10 26 410 192
29 10 1463 145
6 6 442 900
10 19 1278 267
20 23 1325 338
19 22 1260 355
16 29 1142 878
22 19 470 470
6 3 1347 609
10 26 1843 187
19 6 324 237
6 10 713 921
25 28 521 989
3 16 753 124
29 26 1724 482
22 19 287 752
13 22 590 660
16 3 227 464
29 20 1972 641
7 26 634 751
25 19 1889 468
3 13 1502 270
25 19 1753 524
29 10 243 775
9 6 1467 681
23 16 1936 498
