volume peso recompensa duração(s)
29 26 719 600
16 28 935 528
22 22 318 898
6 22 597 540
6 28 1820 271
3 16 1456 192
22 19 783 277
29 10 1463 145
29 10 1657 287
22 6 683 553
29 16 1442 123
3 16 501 692
16 3 1518 1053
6 16 647 872
10 26 1843 187
6 3 1347 609
10 10 553 631
13 26 1073 1066
19 6 1813 756
22 28 347 1058
26 22 1165 1100
19 22 1897 986
19 22 1719 159
19 25 305 782
6 6 631 145
13 9 820 552
16 6 1332 642
10 7 1801 301
20 16 823 524
3 16 1391 846
19 13 1875 107
20 16 823 524
19 6 324 237
22 9 1805 279
19 22 735 193
26 29 1233 434
7 29 598 161
23 23 1382 991
19 6 217 732
20 13 848 198
7 13 898 325
29 22 561 236
23 20 1536 804
16 10 1309 888
16 3 704 1025
7 7 828 643
19 19 873 118
16 13 654 720
6 6 1921 197
3 20 1263 905
29 10 1657 287
10 29 1194 399
29 16 584 203
19 10 1820 348
20 26 1863 104
3 16 220 351
19 13 1688 640
16 10 1309 888
26 22 1628 925
10 13 414 478
25 16 620 1002
13 29 626 332
3 19 600 422
23 7 936 609
13 9 820 552
3 19 901 980
6 13 1713 686
6 10 713 921
26 20 1645 318
13 26 1073 1066
19 6 1108 1031
13 3 699 1056
6 22 562 614
16 3 704 1025
29 26 1724 482
19 22 1200 449
19 25 844 478
3 9 1558 1056
10 13 419 950
25 6 216 182
6 16 1023 132
3 13 633 583
16 3 477 194
29 22 561 236
7 20 1577 1043
6 6 1058 294
22 29 1500 828
3 9 1558 1056
13 13 1714 399
13 20 1951 729
6 6 779 122
6 22 666 504
7 16 789 650
26 26 1261 1009
16 28 1863 653
16 13 1121 641
16 28 1821 660
13 3 699 1056
28 6 707 517
10 6 1765 970
22 22 265 766
25 16 620 1002
10 10 588 654
9 13 1442 168
10 3 1886 632
22 10 1233 546
26 6 1156 1073
26 20 971 308
6 6 1445 1014
6 22 794 783
19 9 1897 881
29 20 1991 704
20 7 894 300
13 29 1511 325
3 3 699 786
28 6 1065 121
19 9 1897 881
23 20 437 996
13 6 1699 1020
28 19 828 888
22 19 1628 332
29 26 1724 482
10 13 414 478
22 22 930 324
19 22 1200 449
19 22 1440 777
16 19 1873 697
23 26 1913 600
16 29 1142 878
19 6 1813 756
16 19 1193 338
3 20 1645 316
26 13 1295 104
7 20 412 756
6 29 834 900
13 6 1062 195
10 10 1856 576
3 13 1502 270
16 6 1332 642
23 7 983 372
26 29 267 777
10 6 1765 970
9 13 1442 168
29 16 1442 123
7 26 1166 552
16 16 527 1100
29 16 1442 123
22 22 626 1048
