volume peso recompensa duração(s)
22 16 982 229
7 20 1241 674
20 13 1054 815
6 3 1176 551
19 9 1897 881
22 25 1227 810
7 20 412 756
6 19 1185 822
25 6 216 182
7 3 1607 273
9 9 1137 1019
10 10 553 631
22 25 224 467
13 13 1710 800
9 22 909 192
6 6 564 1017
6 26 1291 1035
29 22 561 236
16 28 875 1094
7 23 907 152
25 19 1753 524
13 20 1951 729
3 13 1502 270
20 3 1785 160
6 26 1291 1035
6 16 1023 132
26 6 774 314
16 29 533 935
19 6 1204 453
20 23 1551 986
3 13 355 737
13 20 1925 840
3 16 501 692
23 26 1520 942
29 10 483 1038
16 6 1907 397
16 29 1002 441
19 6 217 732
13 6 1699 1020
16 10 1081 1064
13 13 1714 399
19 6 324 237
13 10 483 694
22 19 783 277
3 19 1928 713
16 22 491 581
28 16 827 999
23 29 1232 389
23 23 1382 991
10 13 347 187
29 29 1019 326
7 13 898 325
28 6 1208 309
22 13 709 953
3 7 1565 226
19 13 1904 276
19 3 638 618
22 13 709 953
6 19 406 430
3 13 751 234
13 13 1679 146
6 16 618 1039
20 23 1551 986
6 26 1291 1035
10 3 1886 632
10 29 1065 111
16 16 1633 195
22 13 709 953
3 16 501 692
16 29 1730 638
3 13 1907 307
3 23 1410 1028
26 19 1397 1043
22 22 930 324
3 16 1796 762
13 16 1838 354
28 19 1240 826
29 29 1019 326
7 26 634 751
16 3 279 744
22 29 1500 828
6 6 631 145
6 29 834 900
10 13 419 950
19 19 1437 576
22 16 1819 768
19 19 1990 106
28 6 707 517
22 13 226 631
25 25 371 509
28 6 707 517
13 23 916 1026
26 13 1295 104
9 25 1529 1008
13 10 483 694
26 22 1628 925
10 16 1202 634
3 3 1563 535
22 19 470 470
6 26 1291 1035
26 29 1233 434
16 26 1590 728
19 6 1204 453
28 6 1636 436
16 3 1518 1053
9 9 1137 1019
19 19 1437 576
22 9 1509 598
25 6 647 415
16 3 279 744
6 6 779 122
19 13 1875 107
19 28 213 755
3 10 1475 786
19 25 1263 748
20 16 1200 991
6 13 1713 686
19 16 1351 615
10 6 1747 577
22 19 1628 332
13 25 550 100
3 10 984 463
7 16 789 650
10 7 1801 301
16 6 1907 397
22 10 1233 546
16 22 491 581
19 13 1904 276
20 16 1200 991
7 16 764 617
22 13 1897 272
13 20 1951 729
16 13 707 359
25 28 724 816
22 16 1175 863
19 22 691 728
26 22 1065 616
9 6 748 381
3 19 585 827
13 6 223 597
10 7 1801 301
9 19 1281 241
22 22 626 1048
3 16 1391 846
29 20 1160 237
23 23 1382 991
16 19 1193 338
13 3 455 292
9 9 1137 1019
9 6 1467 681
3 3 715 977
22 29 1500 828
