volMax pesoMax custo
393 377 16543
393 377 16543
395 315 16790
256 289 14860
256 289 14860
262 389 15106
256 289 14860
370 366 13618
287 304 15787
370 366 13618
287 342 15977
355 322 13718
378 272 15057
368 308 16575
281 287 14581
394 351 15473
253 386 13481
335 381 15531
262 384 15363
370 366 13618
378 272 15057
366 375 15556
268 346 14777
393 377 16543
365 259 16982
378 272 15057
308 371 13865
256 289 14860
281 287 14581
265 274 14952
393 377 16543
365 259 16982
365 259 16982
287 304 15787
376 262 16090
265 274 14952
255 275 13025
368 308 16575
258 289 14932
