volume peso recompensa duração(s)
20 23 1551 986
25 28 1370 535
25 28 1521 284
3 16 1456 192
19 19 873 118
13 10 738 190
19 25 854 790
10 10 1856 576
29 10 243 775
29 19 1268 1095
19 22 1200 449
10 13 414 478
16 3 1518 1053
7 10 1630 963
26 6 1627 732
26 29 267 777
10 6 1765 970
19 19 1990 106
9 13 211 1039
13 13 1714 399
7 10 1630 963
3 19 585 827
10 13 419 950
22 28 347 1058
20 13 848 198
6 19 406 430
26 26 716 445
20 7 894 300
7 10 1672 419
26 16 1296 524
10 26 410 192
10 10 553 631
10 3 1641 417
26 29 267 777
22 22 265 766
22 9 1509 598
13 3 203 818
29 26 1522 215
28 6 1636 436
25 13 609 1070
7 10 801 919
13 10 483 694
22 16 982 229
20 13 1542 128
3 22 940 937
19 16 1351 615
3 23 1410 1028
22 3 338 357
16 10 1309 888
26 13 1295 104
6 16 1023 132
6 22 666 504
16 26 1590 728
6 3 1347 609
22 16 982 229
13 3 690 686
13 16 1894 625
22 13 293 191
10 29 676 526
28 22 330 563
22 28 347 1058
9 9 1137 1019
25 22 861 590
3 3 699 786
26 6 1627 732
16 3 836 819
20 7 894 300
26 22 1348 605
13 6 1699 1020
3 16 220 351
6 19 486 789
10 10 1285 483
16 16 1633 195
3 19 600 422
16 29 1142 878
13 26 396 664
20 13 848 198
19 13 884 455
26 22 1628 925
13 13 967 355
13 23 916 1026
19 16 1012 845
25 22 471 448
13 23 1714 347
29 16 1442 123
22 9 1509 598
13 25 550 100
25 6 216 182
3 19 1432 1051
3 7 1565 226
19 3 522 1009
3 3 355 869
13 6 223 597
16 13 654 720
13 6 1987 926
16 16 878 697
10 7 1801 301
22 16 982 229
29 29 763 971
7 16 789 650
28 6 1636 436
16 13 1718 114
7 10 1630 963
26 6 774 314
22 28 347 1058
22 6 683 553
16 29 1730 638
26 22 1487 269
22 22 265 766
19 13 1040 651
19 19 873 118
19 13 1875 107
16 13 1121 641
19 19 1990 106
16 13 707 359
23 20 1786 1041
3 19 600 422
26 26 716 445
3 23 1410 1028
7 26 634 751
23 16 1918 1042
13 23 916 1026
10 23 1205 1088
6 3 615 970
3 19 754 984
7 29 743 826
20 16 1200 991
16 13 1477 513
26 16 1296 524
6 13 1713 686
3 10 1475 786
3 13 1313 1080
19 25 854 790
9 22 909 192
22 25 224 467
25 13 546 1056
26 22 1348 605
7 3 1823 958
29 10 1463 145
7 10 801 919
19 13 1904 276
29 23 1148 789
20 10 1569 720
20 23 204 293
28 16 327 1010
3 19 1928 713
10 16 1202 634
29 23 1148 789
16 6 1332 642
26 26 1170 838
25 6 653 107
6 26 1291 1035
29 10 1657 287
26 19 1397 1043
19 13 884 455
7 20 412 756
23 7 983 372
13 6 1475 889
26 19 1397 1043
3 19 1432 1051
22 19 602 291
3 3 1563 535
26 19 1397 1043
16 10 1309 888
26 7 618 442
28 9 1185 918
26 22 1628 925
16 26 1789 1077
19 22 1200 449
19 16 1319 385
3 19 600 422
19 28 213 755
22 10 1079 154
3 13 1313 1080
26 26 1261 1009
26 13 1295 104
13 6 1699 1020
20 23 1325 338
22 22 626 1048
16 10 1508 454
7 7 828 643
13 13 1008 398
28 19 828 888
16 10 1309 888
22 19 602 291
16 29 1730 638
19 3 762 269
10 13 1315 328
6 26 1991 318
19 28 946 1021
7 3 1823 958
20 23 1551 986
16 29 1142 878
22 13 1897 272
3 16 1796 762
19 22 1200 449
13 25 1467 1058
16 29 533 935
20 16 823 524
13 29 626 332
19 9 1897 881
3 13 751 234
23 26 1594 1052
22 16 982 229
16 3 279 744
10 16 1202 634
16 3 836 819
20 13 1542 128
29 16 1369 817
19 19 1990 106
19 29 1523 353
25 13 546 1056
20 20 418 893
10 29 676 526
28 6 707 517
25 28 1370 535
3 13 685 443
19 6 1813 756
3 3 355 869
20 10 1569 720
22 3 338 357
22 19 470 470
13 3 466 937
29 16 584 203
23 20 1786 1041
3 13 1907 307
22 19 287 752
6 10 713 921
19 29 1523 353
7 10 1630 963
19 28 486 840
26 6 1627 732
3 3 1563 535
10 6 1765 970
10 22 1694 969
29 29 763 971
22 3 1492 283
7 13 898 325
3 22 1768 195
25 13 546 1056
3 20 1434 362
10 7 1801 301
10 29 1488 1094
22 22 626 1048
22 3 338 357
13 26 1639 927
3 16 1796 762
3 13 751 234
22 19 470 470
26 26 1170 838
13 23 1714 347
9 6 748 381
26 22 1348 605
13 3 203 818
7 7 828 643
23 16 868 608
16 16 772 229
9 19 1281 241
26 26 496 520
6 19 1243 977
29 20 1991 704
13 29 1511 325
23 29 957 387
13 13 1679 146
26 6 774 314
13 25 1026 365
19 6 1813 756
29 16 584 203
6 6 442 900
19 29 1523 353
25 22 1331 509
22 10 1079 154
19 10 1820 348
19 22 1260 355
7 29 598 161
13 3 466 937
16 29 1083 521
19 28 213 755
9 19 1281 241
22 6 683 553
29 22 561 236
26 22 1487 269
6 26 1991 318
29 23 1148 789
16 19 234 1001
3 16 501 692
13 10 738 190
23 20 1786 1041
9 16 814 281
16 29 1730 638
28 22 330 563
3 3 715 977
16 29 1694 404
7 29 743 826
16 29 533 935
3 20 1645 316
3 22 1662 201
29 20 1704 502
16 16 287 918
20 26 1863 104
6 16 618 1039
3 3 715 977
19 13 1875 107
25 19 1753 524
6 13 1201 715
20 13 1054 815
19 13 1904 276
16 3 279 744
10 23 1205 1088
19 3 1547 279
3 22 1662 201
22 19 1628 332
9 16 814 281
3 13 1313 1080
16 6 755 874
19 22 1200 449
16 22 1579 619
9 13 211 1039
22 10 1848 196
3 13 355 737
3 13 1313 1080
19 13 1875 107
13 3 690 686
23 7 936 609
3 20 1434 362
28 22 1166 491
10 13 414 478
16 10 396 514
25 22 1331 509
7 3 1823 958
23 26 1520 942
22 16 1598 841
23 16 868 608
19 3 522 1009
19 28 946 1021
23 20 1536 804
13 26 1639 927
28 19 1240 826
13 3 621 723
29 10 1657 287
10 19 1278 267
26 6 774 314
19 6 1813 756
19 19 1437 576
