volMax pesoMax custo
296 271 13742
365 259 16982
309 377 15136
287 304 15787
255 275 13025
394 379 13241
309 377 15136
259 310 16154
259 354 13356
370 366 13618
262 384 15363
376 262 16090
382 304 14967
388 268 14521
285 258 13044
365 301 13406
308 371 13865
292 289 14548
394 379 13241
309 377 15136
253 386 13481
368 308 16575
256 289 14860
388 268 14521
277 399 14862
292 316 16581
258 289 14932
393 377 16543
398 378 15048
292 289 14548
343 277 15226
335 383 16287
277 399 14862
368 308 16575
335 381 15531
278 386 16833
268 346 14777
395 315 16790
328 398 13956
258 289 14932
259 310 16154
370 366 13618
385 254 14819
344 306 14015
336 345 14342
256 289 14860
259 354 13356
281 287 14581
278 386 16833
382 304 14967
256 289 14860
365 259 16982
368 308 16575
308 371 13865
382 304 14967
394 351 15473
277 399 14862
343 277 15226
335 265 15168
370 366 13618
368 308 16575
394 351 15473
328 398 13956
370 366 13618
382 304 14967
328 398 13956
378 272 15057
292 289 14548
393 377 16543
256 289 14860
335 265 15168
388 268 14521
255 275 13025
256 289 14860
382 304 14967
335 381 15531
253 386 13481
365 301 13406
388 268 14521
394 379 13241
310 387 14105
259 310 16154
393 377 16543
308 371 13865
310 387 14105
391 395 13796
394 351 15473
394 351 15473
388 268 14521
366 375 15556
296 271 13742
262 384 15363
378 272 15057
376 262 16090
325 316 13378
368 308 16575
262 384 15363
259 310 16154
268 346 14777
335 265 15168
253 386 13481
378 272 15057
253 386 13481
395 315 16790
292 316 16581
382 304 14967
344 306 14015
335 381 15531
335 383 16287
292 289 14548
268 346 14777
394 379 13241
382 304 14967
365 301 13406
325 316 13378
281 287 14581
325 316 13378
368 308 16575
309 377 15136
268 346 14777
277 399 14862
376 262 16090
278 386 16833
268 346 14777
360 331 15444
253 386 13481
393 377 16543
310 387 14105
336 345 14342
309 377 15136
255 275 13025
336 345 14342
343 277 15226
370 366 13618
262 389 15106
395 315 16790
343 277 15226
292 316 16581
336 345 14342
391 395 13796
277 399 14862
268 346 14777
253 386 13481
296 271 13742
385 254 14819
394 351 15473
393 377 16543
395 315 16790
255 275 13025
335 383 16287
287 342 15977
394 379 13241
292 316 16581
370 366 13618
368 308 16575
394 379 13241
365 301 13406
355 322 13718
378 272 15057
308 371 13865
391 395 13796
382 304 14967
388 268 14521
365 301 13406
397 321 13931
308 371 13865
344 306 14015
309 377 15136
309 377 15136
394 351 15473
287 304 15787
394 351 15473
325 316 13378
288 346 13476
288 346 13476
365 259 16982
292 289 14548
285 258 13044
262 389 15106
355 322 13718
336 345 14342
378 272 15057
292 316 16581
255 275 13025
287 342 15977
258 289 14932
296 271 13742
365 301 13406
398 378 15048
398 378 15048
398 378 15048
310 387 14105
262 384 15363
368 308 16575
335 381 15531
385 254 14819
385 254 14819
308 371 13865
391 395 13796
335 265 15168
259 354 13356
259 354 13356
365 259 16982
296 271 13742
285 258 13044
258 289 14932
388 268 14521
292 316 16581
393 377 16543
397 321 13931
262 384 15363
388 268 14521
376 262 16090
265 274 14952
335 383 16287
397 321 13931
391 395 13796
365 301 13406
365 259 16982
268 346 14777
393 377 16543
366 375 15556
325 316 13378
281 287 14581
395 315 16790
296 271 13742
395 315 16790
393 377 16543
258 289 14932
259 354 13356
336 345 14342
370 366 13618
296 271 13742
288 346 13476
397 321 13931
328 398 13956
277 399 14862
382 304 14967
335 265 15168
370 366 13618
335 265 15168
388 268 14521
296 271 13742
335 383 16287
393 377 16543
394 379 13241
366 375 15556
365 259 16982
265 274 14952
388 268 14521
336 345 14342
277 399 14862
285 258 13044
378 272 15057
262 389 15106
394 351 15473
395 315 16790
368 308 16575
287 304 15787
277 399 14862
256 289 14860
288 346 13476
378 272 15057
395 315 16790
355 322 13718
259 354 13356
253 386 13481
262 389 15106
262 384 15363
287 304 15787
296 271 13742
309 377 15136
335 383 16287
355 322 13718
310 387 14105
336 345 14342
395 315 16790
285 258 13044
335 381 15531
287 342 15977
385 254 14819
259 354 13356
285 258 13044
292 316 16581
287 304 15787
325 316 13378
328 398 13956
287 342 15977
385 254 14819
325 316 13378
296 271 13742
256 289 14860
265 274 14952
325 316 13378
277 399 14862
336 345 14342
265 274 14952
256 289 14860
355 322 13718
287 342 15977
262 389 15106
360 331 15444
255 275 13025
398 378 15048
285 258 13044
382 304 14967
335 265 15168
355 322 13718
397 321 13931
262 384 15363
325 316 13378
296 271 13742
394 379 13241
262 384 15363
397 321 13931
287 304 15787
368 308 16575
344 306 14015
253 386 13481
310 387 14105
281 287 14581
368 308 16575
308 371 13865
325 316 13378
288 346 13476
256 289 14860
259 354 13356
355 322 13718
343 277 15226
292 289 14548
360 331 15444
365 259 16982
355 322 13718
368 308 16575
343 277 15226
393 377 16543
285 258 13044
365 301 13406
344 306 14015
277 399 14862
259 310 16154
256 289 14860
287 342 15977
335 383 16287
310 387 14105
287 304 15787
292 316 16581
344 306 14015
265 274 14952
382 304 14967
385 254 14819
343 277 15226
378 272 15057
277 399 14862
360 331 15444
368 308 16575
287 304 15787
288 346 13476
255 275 13025
394 379 13241
365 259 16982
268 346 14777
360 331 15444
335 381 15531
366 375 15556
335 265 15168
328 398 13956
382 304 14967
397 321 13931
262 384 15363
328 398 13956
394 351 15473
397 321 13931
258 289 14932
255 275 13025
288 346 13476
382 304 14967
335 381 15531
376 262 16090
335 383 16287
365 259 16982
253 386 13481
256 289 14860
309 377 15136
336 345 14342
309 377 15136
385 254 14819
256 289 14860
360 331 15444
287 342 15977
336 345 14342
335 265 15168
343 277 15226
256 289 14860
278 386 16833
398 378 15048
360 331 15444
287 342 15977
325 316 13378
277 399 14862
336 345 14342
308 371 13865
376 262 16090
259 354 13356
265 274 14952
378 272 15057
382 304 14967
344 306 14015
397 321 13931
309 377 15136
287 342 15977
309 377 15136
292 316 16581
258 289 14932
262 389 15106
335 265 15168
325 316 13378
378 272 15057
262 384 15363
336 345 14342
382 304 14967
258 289 14932
355 322 13718
255 275 13025
285 258 13044
394 379 13241
397 321 13931
258 289 14932
262 389 15106
287 304 15787
292 289 14548
397 321 13931
287 342 15977
335 381 15531
296 271 13742
268 346 14777
398 378 15048
268 346 14777
265 274 14952
259 310 16154
335 383 16287
394 379 13241
287 304 15787
292 289 14548
309 377 15136
259 310 16154
394 379 13241
287 304 15787
265 274 14952
262 389 15106
388 268 14521
296 271 13742
253 386 13481
368 308 16575
382 304 14967
378 272 15057
255 275 13025
259 310 16154
382 304 14967
262 384 15363
287 342 15977
288 346 13476
262 384 15363
253 386 13481
397 321 13931
288 346 13476
335 383 16287
335 381 15531
395 315 16790
365 301 13406
370 366 13618
259 354 13356
310 387 14105
344 306 14015
394 379 13241
288 346 13476
258 289 14932
355 322 13718
281 287 14581
394 379 13241
296 271 13742
253 386 13481
344 306 14015
335 381 15531
