volume peso recompensa duração(s)
3 19 600 422
13 23 560 244
26 29 267 777
29 10 1463 145
3 19 585 827
3 19 901 980
10 29 1194 399
19 6 1108 1031
13 13 1008 398
22 22 930 324
7 7 828 643
10 13 419 950
25 28 1909 396
9 25 849 1008
16 6 1188 697
19 13 1904 276
6 22 666 504
19 3 762 269
26 29 267 777
3 16 753 124
6 3 453 537
13 16 1838 354
13 26 396 664
19 16 1489 751
16 19 234 1001
9 22 909 192
16 13 671 726
28 16 327 1010
16 29 1694 404
22 13 667 765
20 20 418 893
29 10 1657 287
19 13 1688 640
19 13 884 455
16 20 816 1079
