volume peso recompensa duração(s)
23 26 1913 600
25 22 580 176
28 22 1166 491
23 29 1232 389
19 22 1719 159
10 26 1229 237
10 26 1229 237
6 6 564 1017
26 6 1627 732
16 3 279 744
3 16 1105 256
29 10 483 1038
6 10 1572 528
22 22 265 766
16 29 533 935
16 22 1579 619
13 6 490 406
28 22 1166 491
29 16 584 203
22 19 1628 332
13 6 223 597
22 25 1227 810
25 22 471 448
13 13 1710 800
6 22 597 540
3 22 1768 195
29 20 1160 237
6 6 631 145
6 22 666 504
3 22 1662 201
22 19 602 291
16 13 1121 641
10 29 1488 1094
19 3 1814 369
3 22 940 937
7 3 1823 958
7 23 907 152
6 16 1023 132
19 22 1897 986
9 22 909 192
20 16 823 524
19 25 305 782
10 6 1747 577
16 16 706 408
19 25 854 790
9 9 427 447
13 23 560 244
20 23 1325 338
3 22 940 937
13 16 1785 297
23 29 1789 900
26 22 1513 447
3 22 1662 201
26 26 1261 1009
3 19 901 980
6 13 1713 686
13 26 396 664
6 29 1859 261
16 13 707 359
19 28 486 840
7 23 907 152
16 16 527 1100
13 23 560 244
9 13 1442 168
10 23 1205 1088
