volume peso recompensa duração(s)
9 6 748 381
29 29 763 971
9 19 1281 241
16 16 527 1100
16 23 746 416
19 13 1537 614
25 25 371 509
13 16 1894 625
16 29 1142 878
16 16 772 229
28 16 327 1010
28 22 330 563
25 19 1753 524
19 6 1813 756
10 13 419 950
13 10 738 190
3 16 1456 192
29 20 1972 641
9 25 849 1008
26 26 716 445
6 6 1445 1014
7 10 1672 419
6 19 406 430
22 16 982 229
16 16 527 1100
10 10 1285 483
13 6 1475 889
13 13 967 355
10 29 676 526
26 16 1303 358
19 13 1784 152
6 19 1185 822
23 20 1786 1041
10 23 1205 1088
7 29 743 826
13 25 1026 365
10 23 1205 1088
16 3 704 1025
6 6 1921 197
3 13 530 916
16 29 1142 878
3 13 1502 270
13 10 738 190
22 13 293 191
16 28 1821 660
13 10 1614 331
6 13 1713 686
19 22 735 193
22 16 1819 768
26 29 267 777
19 19 873 118
10 10 1856 576
6 16 1023 132
13 3 699 1056
7 23 907 152
7 13 1210 414
3 23 571 632
25 22 861 590
26 26 496 520
13 3 699 1056
13 6 1062 195
16 16 527 1100
16 6 1332 642
19 9 1897 881
19 22 1804 622
29 20 1991 704
13 26 1253 542
13 20 1951 729
6 10 713 921
9 6 1467 681
3 3 355 869
3 13 472 300
6 13 1713 686
3 19 600 422
19 19 1437 576
26 19 244 1055
10 29 676 526
16 16 527 1100
22 9 1509 598
22 13 1897 272
3 3 715 977
6 16 618 1039
22 25 914 337
22 22 318 898
16 29 1883 380
20 16 1200 991
20 23 1551 986
16 3 477 194
3 3 1563 535
22 19 783 277
20 13 1542 128
16 6 1907 397
26 26 1261 1009
19 9 1059 580
6 13 1713 686
6 6 1921 197
19 22 1897 986
23 20 1786 1041
19 19 1990 106
6 29 1800 116
26 20 1645 318
16 29 1142 878
13 3 466 937
10 16 1202 634
16 3 279 744
3 19 754 984
19 22 1897 986
22 19 287 752
6 19 1243 977
16 22 491 581
13 29 719 531
3 13 472 300
3 13 633 583
3 19 952 540
16 10 1309 888
3 23 1410 1028
19 3 638 618
16 3 279 744
6 13 1713 686
19 22 1440 777
19 9 1059 580
9 6 748 381
29 29 763 971
19 26 309 271
16 29 1142 878
3 22 1662 201
13 10 738 190
23 26 1520 942
10 10 588 654
19 3 762 269
25 22 580 176
16 29 1739 656
22 22 930 324
6 26 1291 1035
28 16 327 1010
19 19 1990 106
16 29 1593 882
16 16 1633 195
19 3 784 755
9 16 814 281
13 29 626 332
9 22 452 901
3 13 685 443
9 13 1442 168
19 28 512 778
25 28 221 802
29 26 1522 215
22 16 1598 841
6 28 1820 271
7 26 634 751
19 6 217 732
28 25 952 377
19 28 512 778
7 7 1524 189
22 3 480 1037
20 26 1863 104
26 6 1627 732
20 13 636 446
19 9 1059 580
16 6 1188 697
25 6 653 107
13 23 916 1026
29 10 1463 145
29 20 1704 502
6 22 666 504
20 13 636 446
16 29 533 935
6 19 406 430
19 3 638 618
26 22 1487 269
19 22 1260 355
10 22 1694 969
7 10 1672 419
19 6 1108 1031
19 29 1523 353
26 26 716 445
26 16 403 402
26 22 1165 1100
28 6 1208 309
16 10 1508 454
10 13 414 478
6 22 597 540
25 25 371 509
3 13 1907 307
13 10 606 592
16 28 1863 653
13 22 590 660
16 10 1309 888
19 26 309 271
22 19 287 752
22 16 644 313
10 29 676 526
13 29 1511 325
6 3 615 970
25 28 1909 396
10 29 1065 111
16 3 836 819
23 29 1789 900
19 3 522 1009
10 13 1315 328
26 6 1627 732
23 16 868 608
10 10 588 654
3 22 1768 195
20 13 636 446
13 3 466 937
19 22 1440 777
26 22 1513 447
3 3 1563 535
19 19 873 118
13 29 626 332
6 19 1243 977
16 28 935 528
19 16 1967 865
13 26 1073 1066
25 13 546 1056
10 10 588 654
13 9 820 552
3 3 575 287
22 25 1227 810
19 16 1012 845
9 25 849 1008
29 10 1463 145
16 29 1694 404
10 6 1747 577
10 29 1194 399
3 19 585 827
25 13 1251 384
9 9 1137 1019
22 13 709 953
7 7 1524 189
22 10 1848 196
16 29 1593 882
19 6 1204 453
3 10 1475 786
16 23 746 416
13 23 1714 347
16 10 1081 1064
16 13 654 720
7 10 1672 419
26 22 1165 1100
