volMax pesoMax custo
397 321 13931
292 316 16581
258 289 14932
262 389 15106
285 258 13044
397 321 13931
259 310 16154
360 331 15444
365 259 16982
288 346 13476
365 259 16982
328 398 13956
292 316 16581
278 386 16833
308 371 13865
398 378 15048
376 262 16090
310 387 14105
256 289 14860
335 265 15168
256 289 14860
288 346 13476
255 275 13025
397 321 13931
344 306 14015
308 371 13865
393 377 16543
365 301 13406
335 383 16287
258 289 14932
262 384 15363
391 395 13796
292 289 14548
259 310 16154
394 379 13241
336 345 14342
368 308 16575
378 272 15057
258 289 14932
277 399 14862
