volume peso recompensa duração(s)
9 19 1281 241
19 3 762 269
13 20 1951 729
7 23 907 152
25 25 371 509
26 26 716 445
25 6 647 415
13 29 719 531
16 10 1081 1064
7 3 1823 958
7 13 734 917
26 16 403 402
7 7 828 643
26 22 1165 1100
6 19 486 789
29 10 1463 145
19 29 1523 353
16 29 1694 404
29 10 1463 145
20 16 823 524
22 16 1819 768
3 16 1105 256
19 13 1537 614
16 29 1694 404
13 29 626 332
9 19 775 997
10 23 1205 1088
16 20 816 1079
6 10 713 921
19 22 1897 986
25 16 620 1002
13 26 1073 1066
23 23 1366 481
22 16 982 229
20 10 1663 207
19 25 305 782
3 3 699 786
26 19 1397 1043
6 3 453 537
16 28 1863 653
13 25 1467 1058
20 13 848 198
3 13 1907 307
22 16 644 313
3 16 1456 192
10 16 1202 634
6 3 615 970
23 16 1936 498
26 13 1295 104
26 20 971 308
6 29 1859 261
3 16 220 351
29 10 483 1038
19 25 854 790
3 13 633 583
28 6 1065 121
3 13 1313 1080
13 13 1679 146
22 19 287 752
10 10 553 631
3 13 751 234
26 22 1065 616
19 3 762 269
10 13 347 187
13 6 223 597
3 10 1475 786
13 6 580 558
6 6 442 900
20 20 418 893
20 23 204 293
9 25 1529 1008
28 6 1636 436
26 26 716 445
26 29 267 777
19 6 324 237
26 6 774 314
13 6 1062 195
16 29 1002 441
29 23 1148 789
16 29 1593 882
20 23 1236 246
13 9 820 552
25 22 471 448
26 26 716 445
22 25 224 467
22 22 626 1048
25 19 1753 524
20 23 204 293
10 29 676 526
25 28 724 816
6 6 779 122
13 3 466 937
6 22 666 504
6 26 1991 318
3 13 472 300
9 16 814 281
19 10 1820 348
7 23 907 152
25 28 521 989
3 13 1907 307
13 6 223 597
29 16 1051 169
29 16 584 203
16 16 287 918
28 19 1240 826
9 6 1467 681
25 28 521 989
26 20 971 308
19 9 1897 881
13 13 967 355
3 13 633 583
9 13 211 1039
22 25 914 337
23 16 868 608
6 6 1445 1014
16 28 1821 660
3 22 940 937
10 29 1194 399
3 7 1565 226
20 10 1569 720
29 20 1160 237
3 19 901 980
22 13 226 631
7 20 412 756
13 10 606 592
23 29 957 387
13 23 560 244
7 20 1577 1043
6 6 631 145
20 26 1863 104
29 10 243 775
6 10 1572 528
6 26 1991 318
6 6 442 900
19 25 305 782
22 3 1492 283
16 3 477 194
7 16 789 650
13 10 606 592
22 28 1002 795
9 9 427 447
3 7 1565 226
22 9 1509 598
7 20 1880 705
7 20 1241 674
13 6 223 597
19 3 1814 369
3 13 1502 270
23 20 1536 804
6 19 1185 822
13 3 795 302
22 29 1448 487
13 10 629 410
