volMax pesoMax custo
285 258 13044
382 304 14967
388 268 14521
288 346 13476
335 381 15531
265 274 14952
385 254 14819
368 308 16575
292 289 14548
281 287 14581
309 377 15136
365 301 13406
292 289 14548
394 379 13241
382 304 14967
343 277 15226
365 259 16982
388 268 14521
287 342 15977
394 351 15473
292 289 14548
385 254 14819
335 265 15168
391 395 13796
259 310 16154
397 321 13931
344 306 14015
310 387 14105
335 383 16287
258 289 14932
394 379 13241
344 306 14015
265 274 14952
281 287 14581
360 331 15444
308 371 13865
268 346 14777
325 316 13378
292 289 14548
278 386 16833
344 306 14015
308 371 13865
395 315 16790
395 315 16790
292 316 16581
385 254 14819
336 345 14342
