volume peso recompensa duração(s)
6 13 1201 715
3 13 1210 892
22 19 470 470
19 3 522 1009
7 13 734 917
13 16 1838 354
20 13 848 198
7 7 828 643
13 10 606 592
16 3 262 658
3 10 579 103
3 10 1475 786
16 6 1332 642
10 7 1801 301
25 6 653 107
22 25 1227 810
10 29 1065 111
19 3 762 269
25 6 647 415
26 10 574 593
19 3 638 618
6 26 1291 1035
16 6 1907 397
3 16 1796 762
22 3 1565 763
25 16 620 1002
10 23 1205 1088
19 19 1990 106
7 7 828 643
20 16 851 446
23 13 206 128
23 16 1936 498
19 13 1904 276
3 22 1662 201
25 6 647 415
9 25 1529 1008
19 28 213 755
10 19 709 692
3 19 901 980
13 9 1857 1017
20 16 1200 991
19 16 1351 615
7 26 634 751
10 13 414 478
22 19 1628 332
3 23 1410 1028
28 22 1166 491
9 9 427 447
7 13 898 325
23 23 1382 991
28 22 1166 491
6 10 713 921
29 20 1704 502
16 29 1739 656
22 9 1805 279
22 19 1628 332
6 22 597 540
22 10 1233 546
16 13 654 720
3 10 1475 786
16 16 878 697
19 13 1688 640
19 25 844 478
22 13 667 765
26 29 1233 434
3 9 1558 1056
23 23 1382 991
6 29 834 900
16 3 279 744
16 28 875 1094
16 10 1508 454
28 6 1636 436
7 7 1524 189
3 3 715 977
19 3 784 755
3 16 220 351
22 3 1492 283
22 10 1848 196
16 3 1518 1053
20 13 848 198
10 29 1194 399
10 13 419 950
19 3 784 755
3 13 685 443
20 23 1236 246
3 10 579 103
29 16 584 203
25 6 647 415
22 10 1079 154
29 22 561 236
3 23 1410 1028
25 28 521 989
7 29 598 161
13 3 466 937
13 29 1255 923
6 3 1347 609
9 25 1529 1008
29 26 719 600
9 22 452 901
10 29 1194 399
3 13 1889 538
10 3 1641 417
26 6 774 314
6 26 1143 180
29 20 1704 502
26 16 1296 524
3 13 751 234
16 16 287 918
3 10 1475 786
19 16 1967 865
13 6 1699 1020
9 16 814 281
19 16 1967 865
16 3 227 464
22 16 1175 863
26 16 1303 358
3 10 579 103
19 22 1719 159
10 19 709 692
3 16 220 351
28 22 330 563
20 23 1325 338
13 3 203 818
22 28 347 1058
20 7 386 964
16 19 1873 697
10 6 542 430
26 22 1513 447
7 29 743 826
20 23 204 293
9 9 1137 1019
20 16 851 446
3 13 472 300
19 6 1108 1031
16 13 367 703
25 13 1251 384
22 3 338 357
16 3 477 194
3 23 1410 1028
3 19 754 984
7 26 1166 552
10 13 414 478
19 3 1982 619
6 3 1347 609
13 3 203 818
22 13 1897 272
3 16 753 124
26 7 618 442
13 26 396 664
19 9 1059 580
3 16 1105 256
19 25 854 790
3 23 571 632
10 3 547 766
16 16 772 229
16 10 1508 454
23 13 206 128
6 13 1713 686
9 19 1281 241
16 3 704 1025
28 16 827 999
26 19 1397 1043
19 19 1990 106
3 19 754 984
19 6 1813 756
16 29 1739 656
19 16 1319 385
19 16 1489 751
6 10 1572 528
19 3 638 618
19 29 1523 353
23 20 437 996
26 22 1165 1100
25 28 1370 535
3 13 1210 892
10 10 1285 483
9 19 775 997
23 20 1786 1041
28 6 1636 436
3 13 1907 307
10 26 1229 237
3 19 585 827
16 13 671 726
13 23 1714 347
20 3 1785 160
13 16 1838 354
16 6 1188 697
10 22 1694 969
13 6 1062 195
6 29 1800 116
22 16 644 313
10 10 1285 483
3 16 753 124
7 23 907 152
13 29 719 531
19 22 1719 159
13 29 719 531
16 13 654 720
19 22 1260 355
28 25 952 377
28 6 1953 299
19 6 1108 1031
6 22 562 614
19 22 1719 159
7 7 1524 189
3 23 697 699
26 26 496 520
3 19 600 422
13 10 483 694
3 16 1796 762
23 16 868 608
6 13 1201 715
26 7 738 375
26 26 496 520
10 10 588 654
7 13 734 917
13 3 795 302
3 23 697 699
13 26 1639 927
7 23 907 152
26 10 574 593
3 10 984 463
13 10 1614 331
29 20 1160 237
19 9 1897 881
6 22 666 504
22 19 783 277
26 7 618 442
22 28 1002 795
16 10 1508 454
13 3 455 292
22 16 644 313
20 26 1863 104
23 16 868 608
26 22 1628 925
19 9 1059 580
16 3 1518 1053
13 29 1255 923
6 19 486 789
16 13 671 726
7 10 1672 419
22 29 1500 828
28 25 952 377
20 13 848 198
26 29 267 777
6 19 996 631
22 25 224 467
9 6 748 381
23 20 1786 1041
10 16 1202 634
16 13 367 703
28 25 952 377
19 3 1982 619
29 10 1657 287
23 26 1913 600
19 25 844 478
3 20 1434 362
9 19 1281 241
3 13 355 737
3 13 1210 892
6 3 1176 551
7 20 1241 674
16 29 1883 380
25 16 620 1002
22 10 1848 196
6 22 562 614
19 3 1982 619
19 26 836 356
26 16 1296 524
23 7 983 372
20 7 894 300
13 3 203 818
19 26 836 356
22 3 338 357
28 6 1636 436
23 26 1913 600
25 6 653 107
3 22 1768 195
13 3 795 302
20 20 418 893
26 20 971 308
22 28 1717 549
13 6 1987 926
7 26 1257 632
29 26 1522 215
9 9 1137 1019
26 22 1065 616
22 3 480 1037
16 13 671 726
6 19 1591 138
3 19 585 827
22 13 709 953
9 13 1442 168
22 13 667 765
13 6 1475 889
19 3 522 1009
28 6 1953 299
10 13 414 478
10 10 1285 483
6 10 1572 528
19 16 1012 845
25 19 1753 524
29 10 1463 145
22 25 1227 810
13 6 1475 889
3 9 1558 1056
16 29 1083 521
16 6 755 874
13 26 396 664
7 3 1607 273
3 13 530 916
29 16 1369 817
13 29 1255 923
25 19 1889 468
7 13 898 325
16 10 1309 888
16 28 935 528
10 10 1285 483
6 16 1023 132
10 19 1278 267
16 13 367 703
22 25 914 337
19 19 1437 576
7 23 907 152
13 9 820 552
16 16 706 408
19 22 735 193
10 13 347 187
19 9 1059 580
6 26 1291 1035
16 28 1821 660
19 19 1956 207
13 10 1614 331
7 13 734 917
16 29 1739 656
13 6 1062 195
3 19 1432 1051
25 22 471 448
10 16 1202 634
16 29 1883 380
9 19 1281 241
19 28 486 840
6 28 1820 271
10 3 547 766
3 13 685 443
10 26 1229 237
29 16 584 203
6 3 1176 551
16 29 1883 380
25 22 861 590
7 13 898 325
25 28 1909 396
3 16 1391 846
16 19 1873 697
10 29 1488 1094
16 13 707 359
13 9 820 552
16 26 1789 1077
29 10 1463 145
20 16 851 446
6 6 779 122
3 13 633 583
16 26 1590 728
10 13 419 950
22 13 667 765
19 13 1688 640
26 6 774 314
3 19 600 422
22 16 1175 863
