volMax pesoMax custo
262 389 15106
382 304 14967
262 384 15363
397 321 13931
335 265 15168
398 378 15048
281 287 14581
281 287 14581
365 259 16982
368 308 16575
335 381 15531
335 383 16287
393 377 16543
335 381 15531
376 262 16090
308 371 13865
308 371 13865
253 386 13481
343 277 15226
335 265 15168
335 381 15531
388 268 14521
336 345 14342
285 258 13044
268 346 14777
370 366 13618
268 346 14777
366 375 15556
328 398 13956
255 275 13025
388 268 14521
343 277 15226
360 331 15444
335 383 16287
278 386 16833
385 254 14819
344 306 14015
