volume peso recompensa duração(s)
25 6 647 415
6 16 1023 132
19 19 1437 576
3 3 1563 535
22 3 1565 763
13 9 1857 1017
6 26 1291 1035
3 3 355 869
9 13 1442 168
13 25 1026 365
20 7 386 964
22 16 644 313
19 26 309 271
25 13 609 1070
7 16 789 650
19 22 1897 986
20 13 1542 128
16 3 227 464
19 13 1904 276
3 16 1796 762
3 22 940 937
26 26 716 445
13 23 916 1026
29 16 1369 817
13 6 490 406
13 3 699 1056
23 29 957 387
16 16 706 408
3 20 1645 316
6 26 1143 180
26 7 618 442
10 22 1694 969
3 13 472 300
19 22 1260 355
3 13 1313 1080
3 22 1662 201
10 29 676 526
16 13 367 703
6 6 1058 294
19 13 884 455
9 25 849 1008
13 16 1785 297
25 19 1889 468
26 22 1628 925
29 10 483 1038
23 20 1536 804
13 10 629 410
23 3 1396 143
16 16 1633 195
20 3 1785 160
19 3 522 1009
3 13 751 234
25 28 724 816
20 13 636 446
13 20 1925 840
26 19 244 1055
19 13 884 455
29 20 1972 641
13 3 466 937
9 9 1137 1019
3 19 600 422
19 13 1040 651
29 20 1991 704
19 22 1897 986
25 22 471 448
19 22 735 193
3 16 753 124
20 13 1054 815
23 29 957 387
26 20 1645 318
13 29 626 332
25 28 1909 396
22 29 1448 487
25 28 1909 396
6 13 1201 715
6 22 597 540
7 16 789 650
19 13 1904 276
19 3 1814 369
10 3 1641 417
7 26 1257 632
26 29 610 917
16 13 1718 114
29 23 1148 789
7 10 1672 419
25 6 647 415
20 10 1569 720
16 16 287 918
28 19 1240 826
29 29 763 971
16 13 654 720
10 7 1801 301
22 16 982 229
7 23 1303 229
19 28 486 840
6 3 615 970
28 25 952 377
16 13 707 359
16 13 654 720
22 9 1805 279
26 7 738 375
10 19 709 692
25 16 1200 591
23 16 1936 498
7 23 1303 229
6 16 1023 132
20 7 894 300
16 19 1873 697
26 22 1487 269
22 10 1079 154
29 29 969 833
16 13 1477 513
19 16 1967 865
13 10 606 592
13 25 1026 365
23 26 1594 1052
28 19 1240 826
26 19 244 1055
10 3 1886 632
19 28 512 778
13 23 1714 347
6 29 1800 116
28 6 1636 436
13 3 203 818
16 29 1593 882
19 22 1200 449
9 9 427 447
10 6 1765 970
6 22 794 783
9 19 1281 241
19 3 522 1009
26 26 1261 1009
6 13 1713 686
26 22 1065 616
19 3 762 269
19 3 784 755
29 29 969 833
23 16 868 608
3 10 1791 520
26 6 774 314
29 20 1160 237
13 3 795 302
6 19 1243 977
20 13 1542 128
6 3 453 537
16 6 755 874
7 20 1880 705
10 26 410 192
16 29 1883 380
19 28 213 755
19 13 1875 107
16 16 1633 195
16 3 1518 1053
22 9 1805 279
13 13 1714 399
22 10 1233 546
9 9 427 447
7 29 598 161
6 22 597 540
13 6 1699 1020
16 16 527 1100
3 3 355 869
9 25 849 1008
25 28 1521 284
16 26 1789 1077
7 29 743 826
23 23 1382 991
23 3 1396 143
19 16 1319 385
6 10 1572 528
25 28 724 816
13 26 1639 927
20 10 1663 207
16 16 527 1100
6 6 442 900
3 13 472 300
6 29 1800 116
20 23 1236 246
9 22 909 192
10 3 1886 632
26 7 618 442
13 10 483 694
25 28 1521 284
19 22 1719 159
9 25 849 1008
7 13 1210 414
22 28 1002 795
16 6 755 874
20 13 636 446
13 23 916 1026
19 22 691 728
29 26 1724 482
19 13 1784 152
10 6 542 430
13 10 738 190
19 6 1108 1031
26 29 610 917
7 23 907 152
19 28 512 778
22 10 1233 546
10 6 1747 577
6 3 1176 551
3 23 1410 1028
10 29 1065 111
6 6 779 122
28 22 1166 491
23 23 1382 991
13 9 1857 1017
13 26 1639 927
23 16 868 608
10 13 419 950
16 13 654 720
16 28 875 1094
10 3 1641 417
19 26 836 356
7 13 734 917
7 10 1672 419
16 16 527 1100
16 29 1002 441
10 6 542 430
23 13 206 128
10 3 1886 632
29 20 1972 641
10 3 547 766
3 9 1558 1056
7 7 828 643
3 19 952 540
19 13 1875 107
22 28 1717 549
19 22 1440 777
7 7 1524 189
19 22 1804 622
16 16 878 697
6 10 1572 528
20 7 386 964
26 16 1303 358
16 28 935 528
3 16 1796 762
10 13 347 187
6 6 564 1017
6 3 1176 551
22 13 667 765
10 10 1856 576
19 16 1012 845
9 9 1137 1019
20 23 1551 986
29 16 1051 169
25 22 471 448
16 29 1883 380
29 16 584 203
29 16 1442 123
3 20 1263 905
26 22 1487 269
20 13 1054 815
22 16 1175 863
22 19 287 752
29 13 1014 130
29 26 719 600
7 20 1241 674
10 10 1856 576
28 19 1240 826
9 22 452 901
10 13 347 187
13 13 967 355
10 6 542 430
19 26 309 271
3 23 571 632
29 29 763 971
19 22 1897 986
16 29 1730 638
3 13 1502 270
3 13 530 916
7 23 907 152
7 16 764 617
3 19 1432 1051
20 16 1200 991
19 3 784 755
3 22 1768 195
13 6 580 558
19 25 854 790
19 26 309 271
19 19 873 118
23 20 1536 804
3 10 1475 786
9 6 1467 681
29 16 584 203
29 23 1148 789
3 13 1313 1080
3 16 1105 256
10 23 1205 1088
7 10 1630 963
22 25 1227 810
20 16 851 446
10 13 1315 328
9 25 849 1008
13 3 690 686
16 10 1508 454
26 22 1165 1100
19 28 946 1021
9 13 1442 168
10 29 1065 111
16 29 1593 882
13 3 455 292
16 3 279 744
29 20 1704 502
13 13 1714 399
16 29 1142 878
16 16 287 918
13 3 795 302
7 26 1257 632
3 19 585 827
16 10 1508 454
16 3 1518 1053
3 20 1434 362
13 26 1639 927
25 19 1753 524
13 13 1710 800
16 28 1863 653
13 10 738 190
13 22 590 660
7 7 1524 189
10 13 347 187
3 16 501 692
16 29 1593 882
19 3 784 755
16 29 1694 404
26 22 1348 605
13 13 1679 146
9 6 748 381
25 22 580 176
26 26 496 520
13 29 1511 325
6 6 631 145
20 7 386 964
13 3 466 937
26 7 738 375
16 29 1730 638
19 22 691 728
13 13 1714 399
6 22 597 540
3 13 530 916
28 9 1185 918
29 10 243 775
3 10 1475 786
29 10 1657 287
13 10 629 410
26 16 403 402
28 16 827 999
19 22 1897 986
19 13 1040 651
10 10 1285 483
23 29 957 387
16 20 816 1079
20 13 1054 815
23 7 983 372
20 16 851 446
16 10 396 514
