volMax pesoMax custo
277 399 14862
258 289 14932
385 254 14819
281 287 14581
397 321 13931
259 354 13356
366 375 15556
365 301 13406
309 377 15136
310 387 14105
262 384 15363
335 383 16287
335 381 15531
258 289 14932
394 379 13241
397 321 13931
292 316 16581
292 289 14548
262 384 15363
376 262 16090
310 387 14105
262 384 15363
388 268 14521
309 377 15136
310 387 14105
309 377 15136
287 304 15787
328 398 13956
259 354 13356
255 275 13025
335 381 15531
288 346 13476
262 384 15363
335 383 16287
259 310 16154
262 389 15106
255 275 13025
335 265 15168
394 379 13241
388 268 14521
277 399 14862
344 306 14015
344 306 14015
335 383 16287
288 346 13476
